class,filename,filepath,width,height,aspect_ratio,mode,format,size_kb,corrupt,hash,brightness,contrast
Cracks,1.jpg,..\data\Surface Crack Detection\Cracks\Cracks\1.jpg,1289,1744,0.739,RGB,JPEG,818.5,False,9de46a62afd4a00d7e72d55af50516d4,162.17188,14.681618
Cracks,10.jpg,..\data\Surface Crack Detection\Cracks\Cracks\10.jpg,1053,1287,0.818,RGB,JPEG,452.1,False,4eb772e6e2af25704c44ec5bfae578af,158.55383,30.442617
Cracks,100.jpg,..\data\Surface Crack Detection\Cracks\Cracks\100.jpg,1711,1429,1.197,RGB,JPEG,620.0,False,bec4c1456f6ba14aa0cc8353d3c36aa3,158.2486,10.34214
Cracks,102.jpg,..\data\Surface Crack Detection\Cracks\Cracks\102.jpg,1831,1551,1.181,RGB,JPEG,767.6,False,d6590026edf56167d23759dd185a83ee,165.80212,14.191802
Cracks,103.jpg,..\data\Surface Crack Detection\Cracks\Cracks\103.jpg,2372,1504,1.577,RGB,JPEG,1227.7,False,810a5bfd4efde3436a9179ecdb3eb08e,157.44,11.74293
Cracks,106.jpg,..\data\Surface Crack Detection\Cracks\Cracks\106.jpg,2024,1585,1.277,RGB,JPEG,827.4,False,d9312a283c8c1c17927cd4d26f1639d8,155.97357,12.011463
Cracks,109.jpg,..\data\Surface Crack Detection\Cracks\Cracks\109.jpg,2088,1265,1.651,RGB,JPEG,702.2,False,95fdc8b6705a3355cfeafe66f51a0dd4,179.2594,18.997667
Cracks,11.jpg,..\data\Surface Crack Detection\Cracks\Cracks\11.jpg,835,1005,0.831,RGB,JPEG,409.9,False,09bfb5f54e15eabb1b7db81e7e384e3c,144.28064,25.188215
Cracks,110.jpg,..\data\Surface Crack Detection\Cracks\Cracks\110.jpg,1272,762,1.669,RGB,JPEG,189.7,False,7a82176e050739bf5d5cda25823d1717,189.09491,18.453989
Cracks,111.jpg,..\data\Surface Crack Detection\Cracks\Cracks\111.jpg,2515,1594,1.578,RGB,JPEG,1211.8,False,1b86a7c899856267e09cb456856fdafb,173.18982,18.584599
Cracks,112.jpg,..\data\Surface Crack Detection\Cracks\Cracks\112.jpg,1576,1271,1.24,RGB,JPEG,325.1,False,75970e8020ea377fe180fabb63b54dcb,184.36584,16.97932
Cracks,113.jpg,..\data\Surface Crack Detection\Cracks\Cracks\113.jpg,2294,1542,1.488,RGB,JPEG,721.4,False,16c9d4e0c99a6fb53a98048573c84f89,165.46417,17.33456
Cracks,114.jpg,..\data\Surface Crack Detection\Cracks\Cracks\114.jpg,1919,1409,1.362,RGB,JPEG,1002.3,False,ffd00de3c218afc1c51db3c60ca68719,172.85559,16.473915
Cracks,115.jpg,..\data\Surface Crack Detection\Cracks\Cracks\115.jpg,1795,1081,1.66,RGB,JPEG,473.4,False,f104cc4ea2fcf705980e1f731a2c3f4e,165.9831,15.110103
Cracks,116.jpg,..\data\Surface Crack Detection\Cracks\Cracks\116.jpg,1966,1235,1.592,RGB,JPEG,894.4,False,7e9c3301325aaf12761db5c31478f1a7,169.32867,15.021459
Cracks,118.jpg,..\data\Surface Crack Detection\Cracks\Cracks\118.jpg,1106,911,1.214,RGB,JPEG,485.4,False,c36a89d54b63870ee64dc8e9a6a859b0,156.40076,18.740498
Cracks,12.jpg,..\data\Surface Crack Detection\Cracks\Cracks\12.jpg,604,362,1.669,RGB,JPEG,126.9,False,4769002204ba56057cb7db16a6e75a0f,148.95343,25.141773
